user_id,touchpoint_id,touchpoint_time,channel,campaign,device_type,country,touchpoint_position,total_touchpoints,converted,conversion_id,revenue_gbp,media_cost_gbp
USER-100000,TP-0-1,2025-01-05 13:00:00,Paid Search,nonbrand_search,Tablet,India,1,8,0,,0.0,1.48
USER-100000,TP-0-2,2025-01-05 21:00:00,Paid Social,retargeting_social,Tablet,India,2,8,0,,0.0,1.03
USER-100000,TP-0-3,2025-01-06 16:00:00,Organic Search,seo_blog,Tablet,India,3,8,0,,0.0,0.11
USER-100000,TP-0-4,2025-01-06 17:00:00,Direct,direct_none,Tablet,India,4,8,0,,0.0,0.03
USER-100000,TP-0-5,2025-01-13 08:00:00,Paid Search,brand_search,Tablet,India,5,8,0,,0.0,1.92
USER-100000,TP-0-6,2025-01-17 21:00:00,Affiliate,content_partner,Tablet,India,6,8,0,,0.0,0.9
USER-100000,TP-0-7,2025-01-17 14:00:00,Email,basket_recovery,Tablet,India,7,8,0,,0.0,0.04
USER-100000,TP-0-8,2025-01-20 17:00:00,Paid Search,brand_search,Tablet,India,8,8,0,,0.0,1.15
USER-100001,TP-1-1,2025-02-24 14:00:00,Paid Search,brand_search,Mobile,United Kingdom,1,2,0,,0.0,1.19
USER-100001,TP-1-2,2025-03-09 18:00:00,Paid Search,brand_search,Mobile,United Kingdom,2,2,0,,0.0,1.62
USER-100002,TP-2-1,2025-01-28 12:00:00,Display,display_prospecting,Desktop,United Kingdom,1,4,0,,0.0,0.59
USER-100002,TP-2-2,2025-01-29 11:00:00,Direct,direct_none,Desktop,United Kingdom,2,4,0,,0.0,0.02
USER-100002,TP-2-3,2025-02-03 11:00:00,Organic Search,seo_category,Desktop,United Kingdom,3,4,0,,0.0,0.09
USER-100002,TP-2-4,2025-02-07 09:00:00,Paid Social,retargeting_social,Desktop,United Kingdom,4,4,0,,0.0,0.77
USER-100003,TP-3-1,2025-03-13 22:00:00,Referral,community_referral,Mobile,United States,1,2,0,,0.0,0.09
